,0,1,2,3,4
0,Pelicula,For the Cause,2000,5,tt0113092
1,Pelicula,Gang,2000,4,tt0116391
2,Pelicula,The Incorporated,2000,5,tt0116628
3,Pelicula,Heavy Metal 2000,2000,5,tt0119273
4,Pelicula,Mission: Impossible II,2000,7,tt0120755
5,Pelicula,Titan A.E.,2000,8,tt0120913
6,Pelicula,Foiled,2000,-,tt0120673
7,Pelicula,X-Men,2000,9,tt0120903
8,Pelicula,The Crow: Salvation,2000,6,tt0132910
9,Pelicula,The Chronicles of Riddick: Pitch Black,2000,11,tt0134847
10,Pelicula,U-571,2000,9,tt0141926
11,Pelicula,Knockout,2000,2,tt0143344
12,Pelicula,Highlander: Endgame,2000,9,tt0144964
13,Pelicula,Sinbad: Beyond the Veil of Mists,2000,2,tt0144608
14,Pelicula,Shafted!,2000,3,tt0147486
15,Pelicula,Josh,2000,6,tt0151150
16,Pelicula,Yup Yup Man,2000,1,tt0157202
17,Pelicula,The Art of War,2000,1,tt0160009
18,Pelicula,Charlie's Angels,2000,12,tt0160127
19,Pelicula,Shaft,2000,11,tt0162650
20,Pelicula,Hollow Man,2000,8,tt0164052
21,Pelicula,Black Sea 213,2000,4,tt0165642
22,Pelicula,Nautilus,2000,4,tt0165400
23,Pelicula,Romeo Must Die,2000,8,tt0165929
24,Pelicula,Red Team,2000,6,tt0167367
25,Pelicula,Dream Witch,2000,5,tt0168714
26,Pelicula,A Better Way to Die,2000,9,tt0168504
27,Pelicula,Prince of Central Park,2000,12,tt0170452
28,Pelicula,Gladiator,2000,5,tt0172495
29,Pelicula,The Thundering 8th,2000,-,tt0171827
30,Pelicula,Alex l'ariete,2000,7,tt0172109
31,Pelicula,The Million Dollar Kid,2000,4,tt0172464
32,Pelicula,Delta Force One: The Lost Patrol,2000,10,tt0176650
33,Pelicula,Bullfighter,2000,10,tt0176579
34,Pelicula,The Perfect Storm,2000,9,tt0177971
35,Pelicula,Fortress 2,2000,3,tt0179183
36,Pelicula,Mondialito,2000,1,tt0179987
37,Pelicula,Icebreaker,2000,5,tt0179861
38,Pelicula,The Grizzly Six,2000,-,tt0179204
39,Pelicula,Intrepid,2000,4,tt0183280
40,Pelicula,The Specials,2000,9,tt0181836
41,Pelicula,Taxi 2,2000,1,tt0183869
42,Pelicula,Reindeer Games,2000,10,tt0184858
43,Pelicula,Shanghai Noon,2000,6,tt0184894
44,Pelicula,"Farewell, My Love",2000,2,tt0184457
45,Pelicula,Space Cowboys,2000,11,tt0186566
46,Pelicula,The Patriot,2000,7,tt0187393
47,Pelicula,Primary Suspect,2000,6,tt0187750
48,Pelicula,Battlefield Earth,2000,5,tt0185183
49,Pelicula,Brooklyn Sonnet,2000,-,tt0187761
50,Pelicula,Gone in Sixty Seconds,2000,8,tt0187078
51,Pelicula,Point Doom,2000,6,tt0186454
52,Pelicula,Dungeons & Dragons,2000,4,tt0190374
53,Pelicula,Left Behind,2000,2,tt0190524
54,Pelicula,Wo hu cang long,2000,2,tt0190332
55,Pelicula,The Skulls,2000,10,tt0192614
56,Pelicula,Vertical Limit,2000,2,tt0190865
57,Pelicula,Lek,2000,4,tt0194104
58,Pelicula,Accelerator,2000,11,tt0193701
59,Pelicula,Newsbreak,2000,2,tt0195944
60,Pelicula,Starforce,2000,7,tt0195308
61,Pelicula,Hjärta av sten,2000,11,tt0196614
62,Pelicula,The Wrecking Crew,2000,3,tt0196219
63,Pelicula,Under Pressure,2000,2,tt0197072
64,Pelicula,Tiger Claws III,2000,8,tt0197951
65,Pelicula,Black Sea Raid,2000,5,tt0197299
66,Pelicula,Wings of the Crow,2000,12,tt0197104
67,Pelicula,Recipe for Disaster,2000,-,tt0198970
68,Pelicula,Red Planet,2000,2,tt0199753
69,Pelicula,Manhattan Chase,2000,11,tt0199748
70,Pelicula,The Cheapest Movie Ever Made,2000,-,tt0201519
71,Pelicula,Deep Core,2000,10,tt0202314
72,Pelicula,The Alternate,2000,4,tt0203835
73,Pelicula,Pilgrim,2000,7,tt0203053
74,Pelicula,The Way of the Gun,2000,9,tt0202677
75,Pelicula,Ninja Mission 2000,2000,-,tt0204499
76,Pelicula,Airboss III: The Payback,2000,1,tt0205729
77,Pelicula,Hassel/Förgörarna,2000,1,tt0208198
78,Pelicula,Airboss IV: The X Factor,2000,10,tt0207299
79,Pelicula,Chain of Command,2000,6,tt0207377
80,Pelicula,Get Carter,2000,9,tt0208988
81,Pelicula,Nostradamus,2000,4,tt0207631
82,Pelicula,The Chaos Factor,2000,6,tt0208037
83,Pelicula,The Guardian,2000,4,tt0207501
84,Pelicula,Big Momma's House,2000,9,tt0208003
85,Pelicula,Aquarius,2000,-,tt0212774
86,Pelicula,Obstacles,2000,-,tt0213127
87,Pelicula,Miss Congeniality,2000,3,tt0212346
88,Pelicula,Bait,2000,9,tt0211938
89,Pelicula,Citizen Toxie: The Toxic Avenger IV,2000,8,tt0212879
90,Pelicula,Ground Zero,2000,5,tt0213690
91,Pelicula,Last Stand,2000,-,tt0212881
92,Pelicula,Doomsdayer,2000,9,tt0214638
93,Pelicula,Gong yuan 2000 AD,2000,2,tt0214728
94,Pelicula,Faith and the Water Dog,2000,-,tt0214683
95,Pelicula,The Last Patrol,2000,4,tt0214871
96,Pelicula,O Dia da Caça,2000,6,tt0215715
97,Pelicula,The 6th Day,2000,12,tt0216216
98,Pelicula,Total western,2000,7,tt0216750
99,Pelicula,Vampire Hunter D: Bloodlust,2000,10,tt0216651
100,Pelicula,Turn It Up,2000,9,tt0216772
101,Pelicula,Militia,2000,,tt0217654
102,Pelicula,Mrs. Death 2: Hells Fury,2000,10,tt0216926
103,Pelicula,Agent Red,2000,12,tt0218080
104,Pelicula,Dracula 2002,2000,6,tt0219653
105,Pelicula,Submerged,2000,8,tt0218641
106,Pelicula,La máscara de Zorro,2000,-,tt0219169
107,Pelicula,Pukar,2000,2,tt0218533
108,Pelicula,Blue Shirts,2000,-,tt0220336
109,Pelicula,Daybreak,2000,12,tt0219640
110,Pelicula,G-Men from Hell,2000,12,tt0221197
111,Pelicula,Khauff,2000,3,tt0220596
112,Pelicula,Mach 2,2000,6,tt0222020
113,Pelicula,Operation Delta Force 5: Random Fire,2000,,tt0227200
114,Pelicula,Ojos que no ven,2000,5,tt0226238
115,Pelicula,Proof of Life,2000,3,tt0228750
116,Pelicula,Ultraman Tiga: The Final Odyssey,2000,-,tt0228982
117,Pelicula,Tha Eastsidaz,2000,8,tt0229362
